phase,class,percent,source_config,note
prefill_chunk,remaining bf16 linears,3.79,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 36.462 ms, 287 calls (f_b_proj, g_b_proj, in_proj_bfg_a, kv_b_proj + the drafter's bf16 path)"
prefill_chunk,Dense EXL3 hadamard,2.07,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 19.886 ms, 204 calls"
prefill_chunk,CPU gap (GPU idle),0.90,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 8.633 ms"
prefill_chunk,sparse indexer (DSA),0.61,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 5.915 ms, 88 calls"
prefill_chunk,memcpy / memset,0.20,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 1.895 ms, 93 calls"
prefill_chunk,MoE align / route,0.19,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 1.783 ms, 126 calls"
prefill_chunk,_zero_kv_blocks,0.08,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 0.805 ms, 1 call"
prefill_chunk,sampling / spec bookkeeping,0.01,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 0.099 ms, 23 calls"
prefill_chunk,"drafter (DFlash2, cross-cutting - already inside the rows above)",1.41,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 13.58 ms = remaining bf16 8.42 + collectives 1.88 + dense EX 1.43 + 1.85 other. NOT additive with the class rows"
prefill_chunk,dense stage TOTAL (EXL3 GEMM + EXL3 hadamard + remaining bf16),19.21,production 9,"our production-9 profiler run section 3.1; 184.73 ms, i.e. +17.34 ms (+10.4 %) MORE than production 7's bf16 dense stage - the full-scope checkpoint made PREFILL slower, not faster. Sum of three rows already listed above; not additive with them"
prefill_chunk,TOTAL (wall),100,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; class sum comes out at 100.1 %, the excess is compute/compute overlap on a side stream"
decode_c1,MoE trellis GEMM,32.46,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 27.413 ms, 99.1 calls, all target-side"
decode_c1,MoE trellis GEMM - gate/up (w13),21.20,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 17.904 ms (sub-row)"
decode_c1,MoE trellis GEMM - down (w2),11.22,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 9.476 ms (sub-row)"
decode_c1,NCCL collectives,26.05,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 21.997 ms (20.293 target + 1.704 draft). CUPTI-INFLATED: production 9 launches 2,738 kernels per step so the profiler adds +16.4 %; NCCL + CPU gap together are <= 17.19 ms with the profiler off (P9 section 0.1)"
decode_c1,Dense EXL3 GEMM,14.97,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 12.639 ms (11.256 target + 1.383 draft); dense gemm_m 12.347 ms / 204.6 calls, dense epilogue 0.292 ms / 152.3 launches"
decode_c1,remaining bf16 linears,10.30,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 8.700 ms, of which 4.597 ms is the DRAFTER's; the target model's four unquantized families are only 4.10 ms = 4.9 % of the step"
decode_c1,CPU gap (GPU idle),8.43,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 7.115 ms. CUPTI-inflated, see the NCCL note"
decode_c1,hyper-connection mixing (HC),2.64,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 2.231 ms, 186 calls"
decode_c1,norm / elementwise / copy,2.21,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 1.867 ms, 871 calls"
decode_c1,KDA/GDN linear-attn,1.81,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 1.527 ms, 105 calls"
decode_c1,MoE hadamard,0.91,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.768 ms, 84 calls"
decode_c1,MLA attention,0.76,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.644 ms, 59 calls"
decode_c1,Dense EXL3 hadamard,0.66,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.557 ms, 204 calls"
decode_c1,MoE align / route,0.43,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.363 ms, 126 calls"
decode_c1,sparse indexer (DSA),0.42,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.353 ms, 66 calls"
decode_c1,sampling / spec bookkeeping,0.07,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.062 ms"
decode_c1,memcpy / memset,0.06,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.053 ms"
decode_c1,_zero_kv_blocks,0.00,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 0.002 ms"
decode_c1,"drafter (DFlash2 k=7, cross-cutting)",9.93,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; 8.38 ms including its own 1.70 ms of collectives. NOT additive with the class rows. Production 7's equivalent was 11.4 %"
decode_c1,dense stage TOTAL (EXL3 GEMM + EXL3 hadamard + remaining bf16),25.93,production 9,"our production-9 profiler run section 3.2; 21.90 ms, down from production 7's 42.90 ms bf16 dense stage - the whole -17.5 ms (measured -20.1 ms) of step time came from here. Not additive with the rows above"
decode_c1,TOTAL (wall),100,production 9,"our production-9 profiler run section 2.2 ; wall 84.44 ms/step with the profiler ON (real profiler-off step 72.52 ms), GPU busy 77.33 ms, occupancy 91.6 %, 94 steps x 3 ranks, verify batch M=8; class sum comes out at 102.2 %, the excess is compute/compute overlap on side stream tid 29 (3.3 ms/step)"
decode_c8,MoE trellis GEMM,56.31,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 112.358 ms, 85 calls, all target-side"
decode_c8,MoE trellis GEMM - gate/up (w13),36.67,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 73.173 ms (sub-row)"
decode_c8,MoE trellis GEMM - down (w2),19.64,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 39.185 ms (sub-row)"
decode_c8,NCCL collectives,12.87,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 25.672 ms (22.596 target + 3.076 draft)"
decode_c8,KDA/GDN linear-attn,8.67,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 17.292 ms, 105 calls - now larger than the whole dense stage"
decode_c8,Dense EXL3 GEMM,8.00,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 15.959 ms (14.387 target + 1.572 draft)"
decode_c8,remaining bf16 linears,4.58,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 9.135 ms, of which 5.515 ms is the drafter's"
decode_c8,CPU gap (GPU idle),2.75,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 5.482 ms"
decode_c8,MoE hadamard,1.79,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 3.568 ms, 84 calls"
decode_c8,norm / elementwise / copy,1.71,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 3.408 ms, 872 calls"
decode_c8,hyper-connection mixing (HC),1.68,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 3.354 ms, 275 calls"
decode_c8,MLA attention,1.54,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 3.070 ms, 59 calls"
decode_c8,Dense EXL3 hadamard,0.55,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 1.099 ms, 204 calls"
decode_c8,MoE align / route,0.32,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 0.629 ms, 126 calls"
decode_c8,sparse indexer (DSA),0.29,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 0.581 ms, 66 calls"
decode_c8,sampling / spec bookkeeping,0.05,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 0.107 ms"
decode_c8,memcpy / memset,0.04,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 0.078 ms"
decode_c8,_zero_kv_blocks,0.01,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 0.017 ms"
decode_c8,"drafter (DFlash2 k=7, cross-cutting)",5.87,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; 11.71 ms. NOT additive with the class rows. Production 7's equivalent was 6.51 %"
decode_c8,dense stage TOTAL (EXL3 GEMM + EXL3 hadamard + remaining bf16),13.13,production 9,"our production-9 profiler run section 3.3; 26.19 ms, down from production 7's 45.61 ms. Not additive with the rows above"
decode_c8,TOTAL (wall),100,production 9,"our production-9 profiler run section 2.3 ; wall 199.52 ms/step with the profiler ON (real profiler-off step 195.28 ms), GPU busy 194.04 ms, occupancy 97.3 %, 79 steps x 3 ranks, verify batch M=64; class sum comes out at 101.2 %, the excess is compute/compute overlap"
prefill_chunk,MoE trellis GEMM,28.51,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 274.420 ms, 84 calls. 78-99 % of the measured 225 GB/s roofline"
prefill_chunk,MoE trellis GEMM - gate/up (w13),18.47,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 177.770 ms, 42 calls (sub-row)"
prefill_chunk,MoE trellis GEMM - down (w2),10.04,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 96.650 ms, 42 calls (sub-row)"
prefill_chunk,dense BF16 GEMM (cutlass / nvjet),17.39,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 167.394 ms, 457 calls"
prefill_chunk,NCCL collectives,14.47,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 139.266 ms, 105 calls. 100 % exposed - 0.00 ms of measured comm/compute overlap"
prefill_chunk,"hyper-connection mixing (HC, mhc_*/hc_prenorm)",11.99,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 115.403 ms, 275 calls"
prefill_chunk,MLA attention,8.29,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 79.831 ms, 59 calls"
prefill_chunk,KDA/GDN linear-attn,8.09,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 77.862 ms, 479 calls"
prefill_chunk,MoE hadamard (had_in / glu_had_in),5.57,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 53.621 ms, 84 calls"
prefill_chunk,norm / elementwise / copy,3.90,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 37.491 ms, 1040 calls"
prefill_chunk,CPU gap (GPU idle),0.85,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 8.162 ms"
prefill_chunk,sparse indexer (DSA),0.53,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 5.102 ms, 77 calls"
prefill_chunk,memcpy / memset,0.20,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 1.878 ms, 94 calls"
prefill_chunk,MoE align / route,0.19,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 1.869 ms, 126 calls"
prefill_chunk,_zero_kv_blocks,0.09,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 0.857 ms. The earlier reconciliation had published this as 1.3 % - a deleted target"
prefill_chunk,sampling / spec bookkeeping,0.01,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 0.093 ms"
prefill_chunk,"drafter (DFlash2 k=7, cross-cutting - inside the rows above)",1.68,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; 16.2 ms = dense GEMM 11.75 + collectives 2.56 + 1.90 other. NOT additive with the class rows"
prefill_chunk,TOTAL (wall),100,production 7,"our production-7 profiler run section 2.1 ; wall 962.55 ms per steady 1,792-token chunk (7 x 256, i.e. 87.5 % of the MNBT-2048 budget), GPU busy 954.4 ms, occupancy 99.2 %, 4 chunks x 3 ranks, torch profiler against the live server, no restart; the class rows sum to 100 % of the 962.55 ms wall. exl3_moe_combine does NOT exist in this build (fused into the down-GEMM epilogue) although 1.5 % had been published for it"
decode_c1,dense BF16 GEMM,45.33,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 42.902 ms (34.579 target + 8.323 draft). THE largest row - what a routed-experts-only checkpoint costs, and the row production 9 was built to delete"
decode_c1,MoE trellis GEMM,29.69,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 28.105 ms, all target-side"
decode_c1,MoE trellis GEMM - gate/up (w13),19.69,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 18.638 ms (sub-row)"
decode_c1,MoE trellis GEMM - down (w2),10.00,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 9.467 ms (sub-row)"
decode_c1,NCCL collectives,15.47,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 14.641 ms (12.892 target + 1.750 draft)"
decode_c1,CPU gap (GPU idle),5.76,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 5.450 ms. Later corrected to a real budget of 3.47 ms = 3.75 % once CUPTI's ~1 us per kernel boundary is subtracted, of which 77 % is per-kernel dispatch (;)"
decode_c1,hyper-connection mixing (HC),2.20,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 2.082 ms"
decode_c1,norm / elementwise / copy,1.89,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 1.785 ms"
decode_c1,KDA/GDN linear-attn,1.70,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 1.608 ms"
decode_c1,MoE hadamard,0.91,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.859 ms"
decode_c1,MLA attention,0.68,production 7,"our production-7 profiler run section 2.2 ; wall 94.65 ms/step (profiler on; profiler-off 92.11 / 93.17 ms), GPU busy 89.2 ms, occupancy 94.2 %, 93 steps x 3 ranks, verify batch M=8, profiler overhead +2.5 %; 0.643 ms"
