label,gpu_mem_util,kv_pool_tokens,source,note
"PRODUCTION 2: f4987cf, MNBT 2048",0.80,2428769,"results/speed/concurrency-sweeps.csv; docs/10-results-and-roofline.md; docs/07-kv-and-draft-page.md,; our internal working log; our sweep aggregate row P-f4987cf-2048","Pool recovered by dropping MNBT back to 2048. The engine log for this arm is quoted verbatim in docs/07-kv-and-draft-page.md (num_blocks 1,756, blocks/request 723)."
PRODUCTION 3: draft KV page 16 -> 256 (HAREM_SW_BLOCK_SIZE=256),0.80,4413223,"results/speed/concurrency-sweeps.csv; docs/07-kv-and-draft-page.md,; docs/10-results-and-roofline.md; our internal working log; our sweep aggregate row K-sw256","+82 %. Cost: +9.2 % memory per block and a 16 -> 256 token prefix-cache matching unit. Measured optimum: the sweep in docs/07-kv-and-draft-page.md gives 32 -> 3,286,252; 64 -> 3,963,218; 128 -> 4,348,837; 256 -> ~4,429,752; 512 -> 4,202,279; 3,328 (matching the target page) -> 2,269,795, i.e. 7 % WORSE than doing nothing."
REJECTED RUNG: draft page 256 at gpu-memory-utilization 0.85,0.85,5256198,results/speed/concurrency-sweeps.csv (arm 'draft page 256 @ 0.85'); docs/07-kv-and-draft-page.md; docs/10-results-and-roofline.md; our internal working log; our sweep aggregate row,"+19 % pool, no measurable speed change, but head node fell to 1.9 GiB free with 1.6 GB swap in use (worker-2 1.7 GB) - breaks the 4 GiB free-memory rule. REJECTED; 0.88 never attempted. docs/07-kv-and-draft-page.md notes the rejection predates the fast-load page-cache fix and deserves a re-run. SETTLED 5 Sep: the re-run happened at 0.83 rather than 0.85 (see the production 10 row below) and 0.85 will not be attempted on this stack."
Fast-boot arm BOOT1 (S1+S2+S3 only),0.80,4231404,results/speed/concurrency-sweeps.csv (arm 'fast boot S1+S2+S3'); docs/07-kv-and-draft-page.md; our sweep aggregate row BOOT1,Intermediate fast-boot step; the 4.1 % KV regression traced to reading 163 GB through the page cache was still present.
PRODUCTION 4: fast boot S4 (per-rank pre-sliced sidecar),0.80,4468319,results/speed/concurrency-sweeps.csv (arm 'fast boot S4 (production)'); our sweep aggregate row BOOT2,"CONTRADICTION: our internal working log and docs/10-results-and-roofline.md all publish 4,484,848 for this arm instead. docs/07-kv-and-draft-page.md records a 4,231,404 -> 4,484,848 boot-to-boot span of 6.0 % for the same configuration."
PRODUCTION 5: MLA tuner cache warm (image 9bf594c),0.80,4429752,results/speed/concurrency-sweeps.csv (arm 'tuner cache warm (9bf594c)');; docs/10-results-and-roofline.md,our internal working log rounds it to '4.43M'. Speed unchanged by design.
PRODUCTION 6: dual-cable mesh plugin + NCCL_PTR_CUDA,0.80,4449035,"results/speed/concurrency-sweeps.csv; docs/07-kv-and-draft-page.md,; docs/10-results-and-roofline.md; our sweep aggregate row M-cuda","Pool moved +0.4 % (inside boot noise) - the line to watch, because NCCL_PTR_CUDA moves NCCL buffers into memory accounted under gpu-memory-utilization. our internal working log rounds it to '4.45M'."
Rejected arm: 0007 one-sided RDMA_WRITE+FIFO mesh transport,0.80,4462809,our sweep aggregate row mesh3,"Engine-equal to production 6 (C1 56.4 / C4 123.5 / C8 171.1, prefill 1763) so it was not promoted; docs/10-results-and-roofline.md records the rejection."
Draft-fp8 validation arm zk1d (DUMP boot - not usable),0.80,4382920,docs/07-kv-and-draft-page.md; our internal working log area (11:02 entry); our sweep aggregate row zk1d,A dump boot writes the sidecar and its pool reads LOW; the repo's rule is that the pool is read only from a load boot.
PRODUCTION 7: fp8 DFlash2 draft cache + settle gate,0.80,4699724,"results/speed/concurrency-sweeps.csv; docs/07-kv-and-draft-page.md,; docs/10-results-and-roofline.md,; area; our sweep aggregate row zk1","+5.6 % over production 6, against +4.7 % predicted. Mechanism in the engine log: draft page 393,216 -> 196,608 bytes, per-block 21,917,440 -> 20,934,400, divisor unchanged at 363. The settle gate took the per-rank startup free-memory spread from 9 GiB to 1.4 GiB. Concurrency at 1M tokens/request: 4.70x."
"PRODUCTION 7, second instance prod7p (profiler on)",0.80,4719008,our internal working log; our sweep aggregate row prod7p,"Same configuration, different boot."
PRODUCTION 8: image 62f53e6 (had_in a47da6e) - p8 boot,0.80,4674931,docs/10-results-and-roofline.md; our internal working log; our sweep aggregate row p8,First boot of production 8.
"PRODUCTION 8, re-boot prod8r",0.80,4699724,our sweep aggregate row prod8r; our internal working log,Same configuration.
PRODUCTION 8 HEADLINE (prod8r2),0.80,4696969,"; docs/10-results-and-roofline.md,; our internal working log; our sweep aggregate row prod8r2","This is the figure the README and docs/10 use as production 8's control column against production 9. Three boots of production 8 span 4,674,931 / 4,696,969 / 4,699,724."
PRODUCTION 9: full-scope checkpoint (turboderp 4.05 bpw),0.80,5165289,"; docs/10-results-and-roofline.md,;; our internal working log; our sweep aggregate row tp3full","+10.0 % over production 8, and it came from -3.4 GiB of consumed memory per node (58.3-59.1 vs 62.1-62.4 GiB). About 5.17 concurrent 1M-token requests. Read from a load boot with a settled baseline."
"PRODUCTION 9, re-boot verification prod9r",0.80,5168044,our internal working log; our sweep aggregate row prod9r,Clean boot from.env.tp3; gates cold and warm full.
PRODUCTION 10: gpu-memory-utilization 0.83 (boot L083),0.83,5619834,results/speed/concurrency-sweeps.csv; docs/11-open-issues.md section 2.4; docs/10-results-and-roofline.md; audit/README.md section 5; our sweep aggregate row L083,"MEASURED, and it is what ships. +8.7 % over production 9's 5,168,044 - against the +11 % predicted from production 7's geometry, so the prediction's METHOD held and its BASE did not. Speed inside the bands (C1 70.5 / C4 144.6 / C8 194.0), gates full cold and warm, prefill-fresh median 1769. Cost: MemFree falls to 0.9-1.2 GiB of reclaimable page cache, below the 2 GiB figure this repo had used as a floor - taken anyway because SWAP, which is what 0.85 was actually rejected on, stayed at ~0.1 GB and flat, and MemAvailable is 8.8/10.0/10.1 GB. 0.85 will NOT be attempted."
"A/B arm on production 10: NCCL_ALGO=Ring,Tree, five rounds (boot ALG5)",0.83,5702479,results/mesh/algo-sweep.md; docs/06-nccl-mesh.md section 12.3; our sweep aggregate row ALG5,"+1.5 % of pool over the Ring boot of the same configuration - an NCCL per-algorithm buffer-sizing difference, not a KV change. Speed equal within +/-1 % at every concurrency level, TTFT and acceptance identical, gates full. NOT ADOPTED: Ring stays, because 84k tokens of pool does not justify pinning production to an algorithm list."
"PRODUCTION 10 read from a power-on boot (autostart unit, all three nodes rebooted)",0.83,5652892,results/boot/boot-ledger.md; systemd/README.md; audit/README.md section 5,"The cleanest baseline a pool number can have: +0.6 % against the same configuration started by hand with the settle gate, i.e. well inside the 6 % this figure used to swing by before the gate existed. This is the strongest evidence we have that the settle gate measures what it claims to. Gates 10/10 and 12/12 after the reboot."
"EXL3 TP=2 experts-only control, current stack (rig, not production)",,665625,our internal working log,"Run 5 Sep 15:55 as the control for the full-scope TP=2 dress rehearsal; the draft-page patch was NOT applied at TP=2. Third node is worth 91 % of TP=2's C1, 75 % of its C8 and 7x its KV."
"EXL3 TP=2 full-scope dress rehearsal (rig, not a serving config)",0.85,31000,our internal working log; docs/10-results-and-roofline.md area,"Written as '31k pool' - the hybrid allocator forced the attention block to 4,608, leaving about 6.8 pages; prompts >= 2,800 tokens were never scheduled. Explicitly not a serving configuration."
"OTHER STACK - NVFP4 t10 sibling, production memory fraction",0.88,4321739,"docs/07-kv-and-draft-page.md; docs/10-results-and-roofline.md;; our internal working log,",NOT the EX stack. Reference point: EX production 9 reaches a 19 % larger pool at 0.80 than NVFP4 reaches at 0.88.
OTHER STACK - NVFP4 t10 sibling at the test fraction,0.85,3881159,"our internal working log and ('3,88M')","NOT the EX stack. The NVFP4 stack's 0.85 test-rig figure, before its own KV surgery to 0.88."
